Date,Mortality
01/01/2001,38
02/01/2001,32
03/01/2001,40
04/01/2001,24
05/01/2001,33
06/01/2001,25
07/01/2001,24
08/01/2001,38
09/01/2001,30
10/01/2001,28
11/01/2001,38
12/01/2001,32
13/01/2001,24
14/01/2001,33
15/01/2001,21
16/01/2001,22
17/01/2001,30
18/01/2001,33
19/01/2001,18
20/01/2001,25
21/01/2001,31
22/01/2001,31
23/01/2001,36
24/01/2001,30
25/01/2001,35
26/01/2001,30
27/01/2001,23
28/01/2001,23
29/01/2001,23
30/01/2001,14
31/01/2001,26
01/02/2001,27
02/02/2001,27
03/02/2001,26
04/02/2001,27
05/02/2001,27
06/02/2001,32
07/02/2001,25
08/02/2001,38
09/02/2001,33
10/02/2001,16
11/02/2001,30
12/02/2001,24
13/02/2001,26
14/02/2001,19
15/02/2001,26
16/02/2001,34
17/02/2001,27
18/02/2001,17
19/02/2001,25
20/02/2001,20
21/02/2001,29
22/02/2001,12
23/02/2001,27
24/02/2001,26
25/02/2001,27
26/02/2001,29
27/02/2001,32
28/02/2001,17
01/03/2001,23
02/03/2001,26
03/03/2001,28
04/03/2001,24
05/03/2001,27
06/03/2001,29
07/03/2001,26
08/03/2001,25
09/03/2001,28
10/03/2001,20
11/03/2001,21
12/03/2001,26
13/03/2001,31
14/03/2001,18
15/03/2001,20
16/03/2001,29
17/03/2001,19
18/03/2001,22
19/03/2001,22
20/03/2001,25
21/03/2001,23
22/03/2001,18
23/03/2001,28
24/03/2001,22
25/03/2001,23
26/03/2001,29
27/03/2001,23
28/03/2001,27
29/03/2001,20
30/03/2001,32
31/03/2001,25
01/04/2001,21
02/04/2001,28
03/04/2001,16
04/04/2001,20
05/04/2001,19
06/04/2001,17
07/04/2001,16
08/04/2001,22
09/04/2001,19
10/04/2001,23
11/04/2001,21
12/04/2001,23
13/04/2001,19
14/04/2001,25
15/04/2001,23
16/04/2001,18
17/04/2001,20
18/04/2001,13
19/04/2001,12
20/04/2001,22
21/04/2001,20
22/04/2001,14
23/04/2001,28
24/04/2001,23
25/04/2001,27
26/04/2001,17
27/04/2001,13
28/04/2001,20
29/04/2001,17
30/04/2001,18
01/05/2001,20
02/05/2001,18
03/05/2001,17
04/05/2001,27
05/05/2001,21
06/05/2001,18
07/05/2001,16
08/05/2001,16
09/05/2001,23
10/05/2001,22
11/05/2001,26
12/05/2001,23
13/05/2001,22
14/05/2001,21
15/05/2001,15
16/05/2001,15
17/05/2001,24
18/05/2001,19
19/05/2001,10
20/05/2001,21
21/05/2001,24
22/05/2001,19
23/05/2001,11
24/05/2001,26
25/05/2001,18
26/05/2001,18
27/05/2001,27
28/05/2001,25
29/05/2001,13
30/05/2001,25
31/05/2001,18
01/06/2001,16
02/06/2001,18
03/06/2001,13
04/06/2001,12
05/06/2001,20
06/06/2001,12
07/06/2001,17
08/06/2001,16
09/06/2001,17
10/06/2001,22
11/06/2001,21
12/06/2001,27
13/06/2001,9
14/06/2001,13
15/06/2001,25
16/06/2001,18
17/06/2001,12
18/06/2001,20
19/06/2001,18
20/06/2001,20
21/06/2001,16
22/06/2001,20
23/06/2001,19
24/06/2001,15
25/06/2001,20
26/06/2001,24
27/06/2001,23
28/06/2001,17
29/06/2001,23
30/06/2001,15
01/07/2001,15
02/07/2001,16
03/07/2001,20
04/07/2001,19
05/07/2001,17
06/07/2001,14
07/07/2001,20
08/07/2001,14
09/07/2001,25
10/07/2001,21
11/07/2001,14
12/07/2001,16
13/07/2001,10
14/07/2001,13
15/07/2001,14
16/07/2001,14
17/07/2001,20
18/07/2001,15
19/07/2001,15
20/07/2001,11
21/07/2001,21
22/07/2001,12
23/07/2001,12
24/07/2001,18
25/07/2001,18
26/07/2001,20
27/07/2001,16
28/07/2001,21
29/07/2001,19
30/07/2001,26
31/07/2001,22
01/08/2001,18
02/08/2001,20
03/08/2001,14
04/08/2001,16
05/08/2001,26
06/08/2001,9
07/08/2001,20
08/08/2001,19
09/08/2001,24
10/08/2001,12
11/08/2001,16
12/08/2001,13
13/08/2001,16
14/08/2001,9
15/08/2001,16
16/08/2001,21
17/08/2001,17
18/08/2001,11
19/08/2001,15
20/08/2001,18
21/08/2001,19
22/08/2001,13
23/08/2001,14
24/08/2001,16
25/08/2001,13
26/08/2001,17
27/08/2001,13
28/08/2001,13
29/08/2001,13
30/08/2001,17
31/08/2001,24
01/09/2001,11
02/09/2001,15
03/09/2001,16
04/09/2001,15
05/09/2001,16
06/09/2001,17
07/09/2001,11
08/09/2001,19
09/09/2001,13
10/09/2001,19
11/09/2001,13
12/09/2001,17
13/09/2001,14
14/09/2001,18
15/09/2001,13
16/09/2001,18
17/09/2001,12
18/09/2001,19
19/09/2001,16
20/09/2001,15
21/09/2001,21
22/09/2001,14
23/09/2001,19
24/09/2001,21
25/09/2001,15
26/09/2001,23
27/09/2001,22
28/09/2001,16
29/09/2001,24
30/09/2001,27
01/10/2001,19
02/10/2001,22
03/10/2001,19
04/10/2001,12
05/10/2001,21
06/10/2001,19
07/10/2001,15
08/10/2001,15
09/10/2001,17
10/10/2001,24
11/10/2001,17
12/10/2001,14
13/10/2001,16
14/10/2001,13
15/10/2001,22
16/10/2001,16
17/10/2001,19
18/10/2001,14
19/10/2001,20
20/10/2001,18
21/10/2001,19
22/10/2001,13
23/10/2001,21
24/10/2001,19
25/10/2001,19
26/10/2001,21
27/10/2001,13
28/10/2001,13
29/10/2001,20
30/10/2001,17
31/10/2001,23
01/11/2001,19
02/11/2001,26
03/11/2001,14
04/11/2001,20
05/11/2001,16
06/11/2001,23
07/11/2001,18
08/11/2001,9
09/11/2001,20
10/11/2001,9
11/11/2001,20
12/11/2001,18
13/11/2001,22
14/11/2001,13
15/11/2001,23
16/11/2001,17
17/11/2001,22
18/11/2001,18
19/11/2001,20
20/11/2001,19
21/11/2001,22
22/11/2001,20
23/11/2001,19
24/11/2001,20
25/11/2001,24
26/11/2001,21
27/11/2001,28
28/11/2001,18
29/11/2001,22
30/11/2001,17
01/12/2001,17
02/12/2001,15
03/12/2001,18
04/12/2001,24
05/12/2001,17
06/12/2001,25
07/12/2001,20
08/12/2001,20
09/12/2001,21
10/12/2001,22
11/12/2001,20
12/12/2001,19
13/12/2001,28
14/12/2001,24
15/12/2001,23
16/12/2001,15
17/12/2001,17
18/12/2001,24
19/12/2001,23
20/12/2001,25
21/12/2001,21
22/12/2001,28
23/12/2001,38
24/12/2001,35
25/12/2001,31
26/12/2001,27
27/12/2001,29
28/12/2001,30
29/12/2001,30
30/12/2001,30
31/12/2001,37
01/01/2002,34
02/01/2002,41
03/01/2002,36
04/01/2002,39
05/01/2002,32
06/01/2002,32
07/01/2002,36
08/01/2002,36
09/01/2002,29
10/01/2002,40
11/01/2002,39
12/01/2002,39
13/01/2002,26
14/01/2002,29
15/01/2002,26
16/01/2002,29
17/01/2002,26
18/01/2002,23
19/01/2002,28
20/01/2002,29
21/01/2002,39
22/01/2002,33
23/01/2002,40
24/01/2002,25
25/01/2002,23
26/01/2002,33
27/01/2002,28
28/01/2002,33
29/01/2002,28
30/01/2002,23
31/01/2002,29
01/02/2002,27
02/02/2002,28
03/02/2002,29
04/02/2002,23
05/02/2002,26
06/02/2002,25
07/02/2002,15
08/02/2002,23
09/02/2002,24
10/02/2002,22
11/02/2002,25
12/02/2002,16
13/02/2002,16
14/02/2002,29
15/02/2002,19
16/02/2002,28
17/02/2002,18
18/02/2002,34
19/02/2002,21
20/02/2002,23
21/02/2002,22
22/02/2002,25
23/02/2002,18
24/02/2002,21
25/02/2002,24
26/02/2002,25
27/02/2002,27
28/02/2002,19
01/03/2002,22
02/03/2002,27
03/03/2002,23
04/03/2002,29
05/03/2002,26
06/03/2002,29
07/03/2002,23
08/03/2002,21
09/03/2002,21
10/03/2002,23
11/03/2002,35
12/03/2002,22
13/03/2002,27
14/03/2002,24
15/03/2002,20
16/03/2002,22
17/03/2002,26
18/03/2002,26
19/03/2002,31
20/03/2002,22
21/03/2002,22
22/03/2002,14
23/03/2002,22
24/03/2002,28
25/03/2002,20
26/03/2002,22
27/03/2002,20
28/03/2002,22
29/03/2002,18
30/03/2002,17
31/03/2002,26
01/04/2002,16
02/04/2002,25
03/04/2002,23
04/04/2002,27
05/04/2002,27
06/04/2002,19
07/04/2002,21
08/04/2002,24
09/04/2002,12
10/04/2002,19
11/04/2002,19
12/04/2002,20
13/04/2002,20
14/04/2002,28
15/04/2002,22
16/04/2002,17
17/04/2002,19
18/04/2002,30
19/04/2002,18
20/04/2002,26
21/04/2002,25
22/04/2002,19
23/04/2002,19
24/04/2002,18
25/04/2002,13
26/04/2002,18
27/04/2002,16
28/04/2002,16
29/04/2002,13
30/04/2002,13
01/05/2002,15
02/05/2002,15
03/05/2002,23
04/05/2002,23
05/05/2002,15
06/05/2002,20
07/05/2002,24
08/05/2002,13
09/05/2002,11
10/05/2002,22
11/05/2002,15
12/05/2002,15
13/05/2002,14
14/05/2002,20
15/05/2002,13
16/05/2002,24
17/05/2002,15
18/05/2002,18
19/05/2002,13
20/05/2002,22
21/05/2002,10
22/05/2002,19
23/05/2002,15
24/05/2002,24
25/05/2002,12
26/05/2002,21
27/05/2002,14
28/05/2002,20
29/05/2002,23
30/05/2002,12
31/05/2002,22
01/06/2002,20
02/06/2002,24
03/06/2002,20
04/06/2002,21
05/06/2002,20
06/06/2002,15
07/06/2002,13
08/06/2002,14
09/06/2002,13
10/06/2002,21
11/06/2002,17
12/06/2002,14
13/06/2002,18
14/06/2002,20
15/06/2002,13
16/06/2002,11
17/06/2002,14
18/06/2002,13
19/06/2002,11
20/06/2002,20
21/06/2002,14
22/06/2002,23
23/06/2002,21
24/06/2002,13
25/06/2002,15
26/06/2002,19
27/06/2002,24
28/06/2002,14
29/06/2002,18
30/06/2002,22
01/07/2002,18
02/07/2002,14
03/07/2002,19
04/07/2002,13
05/07/2002,17
06/07/2002,9
07/07/2002,17
08/07/2002,22
09/07/2002,18
10/07/2002,18
11/07/2002,16
12/07/2002,14
13/07/2002,11
14/07/2002,14
15/07/2002,17
16/07/2002,12
17/07/2002,18
18/07/2002,22
19/07/2002,16
20/07/2002,18
21/07/2002,16
22/07/2002,20
23/07/2002,14
24/07/2002,21
25/07/2002,16
26/07/2002,17
27/07/2002,20
28/07/2002,22
29/07/2002,19
30/07/2002,29
31/07/2002,15
01/08/2002,18
02/08/2002,29
03/08/2002,15
04/08/2002,19
05/08/2002,16
06/08/2002,20
07/08/2002,29
08/08/2002,19
09/08/2002,16
10/08/2002,16
11/08/2002,11
12/08/2002,10
13/08/2002,23
14/08/2002,16
15/08/2002,24
16/08/2002,19
17/08/2002,22
18/08/2002,21
19/08/2002,17
20/08/2002,12
21/08/2002,14
22/08/2002,19
23/08/2002,10
24/08/2002,12
25/08/2002,10
26/08/2002,19
27/08/2002,15
28/08/2002,13
29/08/2002,13
30/08/2002,12
31/08/2002,10
01/09/2002,14
02/09/2002,8
03/09/2002,14
04/09/2002,18
05/09/2002,19
06/09/2002,25
07/09/2002,12
08/09/2002,13
09/09/2002,10
10/09/2002,10
11/09/2002,12
12/09/2002,10
13/09/2002,19
14/09/2002,12
15/09/2002,10
16/09/2002,18
17/09/2002,17
18/09/2002,17
19/09/2002,15
20/09/2002,18
21/09/2002,10
22/09/2002,14
23/09/2002,11
24/09/2002,17
25/09/2002,10
26/09/2002,13
27/09/2002,17
28/09/2002,18
29/09/2002,18
30/09/2002,22
01/10/2002,20
02/10/2002,26
03/10/2002,20
04/10/2002,14
05/10/2002,11
06/10/2002,20
07/10/2002,15
08/10/2002,16
09/10/2002,12
10/10/2002,21
11/10/2002,15
12/10/2002,10
13/10/2002,21
14/10/2002,13
15/10/2002,22
16/10/2002,14
17/10/2002,25
18/10/2002,18
19/10/2002,16
20/10/2002,17
21/10/2002,21
22/10/2002,18
23/10/2002,16
24/10/2002,24
25/10/2002,21
26/10/2002,13
27/10/2002,14
28/10/2002,15
29/10/2002,25
30/10/2002,15
31/10/2002,23
01/11/2002,21
02/11/2002,28
03/11/2002,21
04/11/2002,19
05/11/2002,20
06/11/2002,18
07/11/2002,14
08/11/2002,17
09/11/2002,19
10/11/2002,14
11/11/2002,21
12/11/2002,19
13/11/2002,23
14/11/2002,23
15/11/2002,21
16/11/2002,17
17/11/2002,20
18/11/2002,25
19/11/2002,26
20/11/2002,25
21/11/2002,22
22/11/2002,22
23/11/2002,19
24/11/2002,18
25/11/2002,24
26/11/2002,19
27/11/2002,30
28/11/2002,14
29/11/2002,25
30/11/2002,24
01/12/2002,21
02/12/2002,20
03/12/2002,22
04/12/2002,22
05/12/2002,18
06/12/2002,15
07/12/2002,13
08/12/2002,26
09/12/2002,20
10/12/2002,32
11/12/2002,27
12/12/2002,28
13/12/2002,25
14/12/2002,21
15/12/2002,23
16/12/2002,33
17/12/2002,27
18/12/2002,26
19/12/2002,28
20/12/2002,25
21/12/2002,24
22/12/2002,27
23/12/2002,35
24/12/2002,31
25/12/2002,30
26/12/2002,31
27/12/2002,25
28/12/2002,24
29/12/2002,28
30/12/2002,32
31/12/2002,23
01/01/2003,22
02/01/2003,27
03/01/2003,25
04/01/2003,34
05/01/2003,23
06/01/2003,25
07/01/2003,25
08/01/2003,22
09/01/2003,28
10/01/2003,22
11/01/2003,33
12/01/2003,32
13/01/2003,27
14/01/2003,29
15/01/2003,22
16/01/2003,28
17/01/2003,24
18/01/2003,26
19/01/2003,38
20/01/2003,31
21/01/2003,37
22/01/2003,34
23/01/2003,22
24/01/2003,35
25/01/2003,28
26/01/2003,29
27/01/2003,20
28/01/2003,26
29/01/2003,22
30/01/2003,22
31/01/2003,21
01/02/2003,25
02/02/2003,28
